Pharmacy-Name,Phone,Credential,Location,Address,City,State,Zip,CredentialId
TRUMBULL PHARMACY LLC,203-880-9954,PCY.0002336,"10 BROADWAY
BLDG B, CT 06611-1302
(41.277721, -73.227215)",10 BROADWAY BLDG B,TRUMBULL,CT,06611-1302,1357638
TOWNE APOTHECARY LLC,(203) 266-7801,PCY.0001133,"95 MAIN ST S
CT 06751-2004
(41.634565, -73.208822)",95 MAIN ST S,BETHLEHEM,CT,06751-2004,38018
THE WESTON CENTER PHARMACY,(203) 226-7800,PCY.0002098,"190 WESTON RD
CT 06883-2126
(41.202358, -73.381734)",190 WESTON RD,WESTON,CT,06883-2126,478003
SUBURBAN PHARMACY LTC INC,(860) 882-1808,PCY.0002051,"342 N MAIN ST
CT 06117-2500
(41.785187, -72.746917)",342 N MAIN ST STE 70,WEST HARTFORD,CT,06117-2500,435650
ST VINCENTS OUTPATIENT PHARMACY,(203) 576-5713,PCY.0002237,"2800 MAIN ST
CT 06606-4201
(41.200083, -73.202486)",2800 MAIN ST,BRIDGEPORT,CT,06606-4201,1065025
STOP & SHOP SUPERMARKET #635,(203) 732-3907,PCY.0001371,"100 DIVISION ST
CT 06401-2147
(41.331998, -73.08221)",100 DIVISION ST,ANSONIA,CT,06401-2147,38672
STOP & SHOP PHARMACY #727,(860) 963-2642,PCY.0001598,"60 PROVIDENCE TURNPIKE
CT 06260
(41.925031, -71.876096)",60 PROVIDENCE TURNPIKE,PUTNAM,CT,06260,175371
STOP & SHOP PHARMACY #697,(860) 774-5301,PCY.0001555,"1094 KILLINGLY COMMONS DRIVE
CT 06241-2143
(41.842098, -71.88264)",1094 KILLINGLY COMMONS DRIVE,DAYVILLE,CT,06241-2143,340612
STOP & SHOP PHARMACY #696,(203) 931-9478,PCY.0002048,"460 ELM STREET
CT 06516
(41.272872, -72.957388)",460 ELM STREET,WEST HAVEN,CT,06516,433320
STOP & SHOP PHARMACY #694,(203) 234-1757,PCY.0001745,"79 WASHINGTON AVE
CT 06473-1704
(41.39259, -72.858629)",79 WASHINGTON AVE,NORTH HAVEN,CT,06473-1704,227038
STOP & SHOP PHARMACY #693,860-569-7135,PCY.0001505,"940 SILVER LN
CT 06118-1235
(41.765491, -72.602083)",940 SILVER LN,EAST HARTFORD,CT,06118-1235,39116
STOP & SHOP PHARMACY #692,(203) 468-1113,PCY.0001220,"370 HEMINGWAY AVE
CT 06512-3240
(41.277503, -72.867582)",370 HEMINGWAY AVE,EAST HAVEN,CT,06512-3240,38233
STOP & SHOP PHARMACY #689,860-645-8050,PCY.0001452,"286 BROAD ST
CT 06040-4049
(41.779859, -72.534459)",286 BROAD ST,MANCHESTER,CT,06040-4049,38901
STOP & SHOP PHARMACY #687,(203) 481-3392,PCY.0001280,"22 LEETES ISLAND RD
CT 06405-6514
(41.297749, -72.764773)",22 LEETES ISLAND RD,BRANFORD,CT,06405-6514,241635
STOP & SHOP PHARMACY #684,860-620-9060,PCY.0001487,"505 N MAIN ST
CT 06489-2051
(41.614257, -72.873858)",505 N MAIN ST,SOUTHINGTON,CT,06489-2051,39106
STOP & SHOP PHARMACY #683,(860) 355-3763,PCY.0001206,"180 DANBURY RD
CT 06776-4328
(41.550033, -73.418267)",180 DANBURY RD,NEW MILFORD,CT,06776-4328,246250
STOP & SHOP PHARMACY #682,(860) 445-8807,PCY.0001297,"220 ROUTE
CT 06340",220 ROUTE 12,GROTON,CT,06340,38451
STOP & SHOP PHARMACY #679,(203) 597-1498,PCY.0001269,"240 CHASE AVE
CT 06704-2237
(41.58102, -73.033669)",240 CHASE AVE,WATERBURY,CT,06704-2237,38440
STOP & SHOP PHARMACY #675,(203) 755-9538,PCY.0001781,"920 WOLCOTT ST
CT 06705-1300
(41.565747, -73.008362)",920 WOLCOTT ST,WATERBURY,CT,06705-1300,277465
STOP & SHOP PHARMACY #674,8604567240,PCY.0001248,"1391 MAIN ST
CT 06226-1949
(41.716057, -72.230877)",1391 MAIN ST,WILLIMANTIC,CT,06226-1949,38430
STOP & SHOP PHARMACY #670,(203) 372-6538,PCY.0001707,"4531 MAIN ST
CT 06606-1846
(41.222061, -73.21803)",4531 MAIN ST,BRIDGEPORT,CT,06606-1846,214917
STOP & SHOP PHARMACY #665,(860) 739-5957,PCY.0001829,"248 FLANDERS RD
CT 06357-1264
(41.357336, -72.210375)",248 FLANDERS RD,NIANTIC,CT,06357-1264,328383
STOP & SHOP PHARMACY #663,(203) 877-1912,PCY.0001622,"1360 E TOWN RD
CT 06460-3623
(41.236201, -73.031699)",1360 E TOWN RD,MILFORD,CT,06460-3623,45735
STOP & SHOP PHARMACY #662,203-849-8735,PCY.0001574,"380 MAIN AVE
CT 06851-1553
(41.141317, -73.425784)",380 MAIN AVE,NORWALK,CT,06851-1553,167371
STOP & SHOP PHARMACY #659,203-798-0735,PCY.0001249,"72 NEWTOWN RD
CT 06810-6254
(41.40563, -73.419778)",72 NEWTOWN RD,DANBURY,CT,06810-6254,38431
STOP & SHOP PHARMACY #658,2038342204,PCY.0001849,"5 RIVER ROAD
CT 06897
(41.190978, -73.430411)",5 RIVER ROAD,WILTON,CT,06897,351206
STOP & SHOP PHARMACY #657,(860) 274-7461,PCY.0001794,"763 STRAITS TPKE
CT 06795-3318
(41.572009, -73.099253)",763 STRAITS TPKE,WATERTOWN,CT,06795-3318,289907
STOP & SHOP PHARMACY #656,(203) 438-0340,PCY.0001926,"125 DANBURY ROAD; ROUTE
CT 06877
(41.294583, -73.492898)",125 DANBURY ROAD; ROUTE #35,RIDGEFIELD,CT,06877,387749
STOP & SHOP PHARMACY #654,(203) 238-1261,PCY.0001729,"485 BROAD ST
CT 06450-5801
(41.533258, -72.792516)",485 BROAD ST,MERIDEN,CT,06450-5801,223411
STOP & SHOP PHARMACY #650,203-254-8538,PCY.0001651,"1160 KING'S HIGHWAY
CUTOFF, CT 06430
(39.815472, -89.670785)",1160 KING'S HIGHWAY CUTOFF,FAIRFIELD,CT,06430,188609
STOP & SHOP PHARMACY #648,(203) 389-8863,PCY.0001470,"112 AMITY RD
CT 06515-1405
(41.338079, -72.979877)",112 AMITY RD,NEW HAVEN,CT,06515-1405,39098
STOP & SHOP PHARMACY #647,(203) 876-0654,PCY.0001747,"855 BRIDGEPORT AVE
CT 06460-3171
(41.21283, -73.078157)",855 BRIDGEPORT AVE,MILFORD,CT,06460-3171,230523
STOP & SHOP PHARMACY #645,(860) 348-9830,PCY.0001761,"1309 CORBIN AVE
CT 06053-3857
(41.669384, -72.805828)",1309 CORBIN AVE,NEW BRITAIN,CT,06053-3857,243636
STOP & SHOP PHARMACY #644,(203) 797-8476,PCY.0001375,"44 LAKE AVENUE EXT
CT 06811-5244
(41.38654, -73.487638)",44 LAKE AVENUE EXT,DANBURY,CT,06811-5244,38675
STOP & SHOP PHARMACY #642,(860) 583-9213,PCY.0001676,"747 PINE ST
CT 06010-6959
(41.668884, -72.89558)",747 PINE ST,BRISTOL,CT,06010-6959,157733
STOP & SHOP PHARMACY #640,203-299-1718,PCY.0001688,"385 CONNECTICUT AVE
CT 06854-1805
(41.100367, -73.440807)",385 CONNECTICUT AVE,NORWALK,CT,06854-1805,200353
STOP & SHOP PHARMACY #639,2033755717,PCY.0001320,"200 E MAIN ST
CT 06614-5114
(41.20238, -73.117459)",200 E MAIN ST,STRATFORD,CT,06614-5114,38464
STOP & SHOP PHARMACY #637,(203) 356-0126,PCY.0001642,"2200 BEDFORD ST
CT 06905-3905
(41.06854, -73.544635)",2200 BEDFORD ST,STAMFORD,CT,06905-3905,185419
STOP & SHOP PHARMACY #636,2032700827,PCY.0001394,"228 SOUTH MAIN STREET
CT 06470
(41.373447, -73.271551)",228 SOUTH MAIN STREET,NEWTOWN,CT,06470,38871
STOP & SHOP PHARMACY #634,(860) 232-8861,PCY.0001520,"150 NEW PARK AVE
CT 06106-2159
(41.75245, -72.709485)",150 NEW PARK AVE,HARTFORD,CT,06106-2159,39124
STOP & SHOP PHARMACY #632,(860) 563-4462,PCY.0001307,"80 TOWN LINE ROAD
CT 06067
(41.682422, -72.657347)",80 TOWN LINE ROAD,ROCKY HILL,CT,06067,38456
STOP & SHOP PHARMACY #629,2039293887,PCY.0001187,"898 BRIDGEPORT AVENUE
CT 06484
(41.264354, -73.133516)",898 BRIDGEPORT AVENUE,SHELTON,CT,06484,283056
STOP & SHOP PHARMACY #625,(860) 738-2707,PCY.0001595,"200 NEW HARTFORD RD
CT 06098-3373
(41.90999, -73.048905)",200 NEW HARTFORD RD,WINSTED,CT,06098-3373,172022
STOP & SHOP PHARMACY #622,8604892433,PCY.0001397,"211 HIGH ST
CT 06790-6301
(41.800054, -73.128701)",211 HIGH ST,TORRINGTON,CT,06790-6301,38873
STOP & SHOP PHARMACY #621,(203) 262-4559,PCY.0002018,"100 MAIN ST N
CT 06488-3839
(41.478547, -73.212925)",100 MAIN ST N,SOUTHBURY,CT,06488-3839,416692
STOP & SHOP PHARMACY #620,(203) 261-3691,PCY.0001679,"100 QUALITY ST
CT 06611-3143
(41.256075, -73.215736)",100 QUALITY ST,TRUMBULL,CT,06611-3143,154960
STOP & SHOP PHARMACY #618,(203) 755-5814,PCY.0001439,"410 REIDVILLE DR
CT 06705-2660
(41.5388, -72.999166)",410 REIDVILLE DR,WATERBURY,CT,06705-2660,245847
STOP & SHOP PHARMACY #615,(860) 887-1615,PCY.0000937,"42 TOWN ST
CT 06360-2316
(41.546508, -72.091505)",42 TOWN ST,NORWICH,CT,06360-2316,37774
STOP & SHOP PHARMACY #614,860-828-0772,PCY.0002004,"1135 FARMINGTON AVE
CT 06037-5200
(41.629095, -72.757383)",1135 FARMINGTON AVE,BERLIN,CT,06037-5200,412188
STOP & SHOP PHARMACY #613,(860) 871-1053,PCY.0001645,"10 PITKIN RD
CT 06066-4709
(41.830649, -72.492605)",10 PITKIN RD,VERNON,CT,06066-4709,187385
STOP & SHOP PHARMACY #611,860-844-8346,PCY.0001793,"120 SALMON BROOK ST
CT 06035-2604
(41.935283, -72.790567)",120 SALMON BROOK ST,GRANBY,CT,06035-2604,289905
STOP & SHOP PHARMACY #608,8605372570,PCY.0001599,"99 LINWOOD AVE
CT 06415-1159
(41.572306, -72.33562)",99 LINWOOD AVE,COLCHESTER,CT,06415-1159,175335
STOP & SHOP PHARMACY #607,(860) 651-9843,PCY.0001486,"498 BUSHY HILL RD
CT 06070-2931
(41.820736, -72.864549)",498 BUSHY HILL RD,SIMSBURY,CT,06070-2931,39105
STOP & SHOP PHARMACY #606,860-635-6303,PCY.0001225,"35 SHUNPIKE RD
CT 06416-2414
(41.602303, -72.676099)",35 SHUNPIKE RD,CROMWELL,CT,06416-2414,38237
STOP & SHOP PHARMACY #605,,PCY.0001821,"55 OAK STREET
CT 06033
(41.707078, -72.592758)",55 OAK STREET,GLASTONBURY,CT,06033,319465
STOP & SHOP PHARMACY #603,203-881-2756,PCY.0001763,"15 FRANKLIN ST
CT 06483-2809
(41.400614, -73.072106)",15 FRANKLIN ST,SEYMOUR,CT,06483-2809,245610
STOP & SHOP PHARMACY #600,(203) 248-9631,PCY.0001565,"2335 DIXWELL AVE
CT 06514-2100
(41.372994, -72.916778)",2335 DIXWELL AVE,HAMDEN,CT,06514-2100,134308
STOP & SHOP PHARMACY #2614,(860) 870-6255,PCY.0001551,"50 WINDSORVILLE RD
CT 06066-2385
(41.865032, -72.482059)",50 WINDSORVILLE RD,VERNON,CT,06066-2385,74160
STOP & SHOP PHARMACY #2613,860-594-7123,PCY.0001586,"206 KITTS LN
CT 06111-4250
(41.682657, -72.709471)",206 KITTS LN,NEWINGTON,CT,06111-4250,172482
STOP & SHOP PHARMACY #2612,(203) 312-9818,PCY.0001860,"25 ROUTE
CT 06812-4615",25 ROUTE 39,NEW FAIRFIELD,CT,06812-4615,360302
STOP & SHOP PHARMACY #2611,(860) 267-2771,PCY.0002072,"11 E HIGH ST
CT 06424-1022
(41.583136, -72.504129)",11 E HIGH ST,EAST HAMPTON,CT,06424-1022,446179
STOP & SHOP PHARMACY #2605,(860) 741-2200,PCY.0001345,"54 HAZARD AVE
CT 06082-3845
(41.989505, -72.574563)",54 HAZARD AVE,ENFIELD,CT,06082-3845,38655
STOP & SHOP #695,(203) 272-5993,PCY.0001994,"275 HIGHLAND AVE
CT 06410-2522
(41.505685, -72.900364)",275 HIGHLAND AVE,CHESHIRE,CT,06410-2522,408344
STOP & SHOP #688,(860) 388-6461,PCY.0001357,"105 ELM ST
CT 06475-4132
(41.53234, -72.797805)",105 ELM ST,OLD SAYBROOK,CT,06475-4132,249867
STOP & SHOP #667,(860) 444-6772,PCY.0001260,"117 BOSTON POST RD
CT 06385-2400
(41.34205, -72.124278)",117 BOSTON POST RD,WATERFORD,CT,06385-2400,241634
STOP & SHOP #653,(203) 254-9461,PCY.0001426,"1790 POST RD E
CT 06880-5607
(41.138347, -73.30227)",1790 POST RD E,WESTPORT,CT,06880-5607,38886
STOP & SHOP #652,(860) 669-6636,PCY.0001232,"215 E MAIN ST
CT 06413-2200
(41.272692, -72.506861)",215 E MAIN ST,CLINTON,CT,06413-2200,249883
STOP & SHOP #638,(203) 265-6400,PCY.0001358,"930 N COLONY RD
CT 06492-2471
(41.483613, -72.809856)",930 N COLONY RD,WALLINGFORD,CT,06492-2471,38661
STOP & SHOP #631,3013414387,PCY.0001596,"215 GLASTONBURY BLVD
CT 06033-4408
(41.721089, -72.623445)",215 GLASTONBURY BLVD,GLASTONBURY,CT,06033-4408,172001
STOP & SHOP #630,(860) 667-8380,PCY.0001454,"44 FENN RD
CT 06111-2212
(41.698061, -72.756446)",44 FENN RD,NEWINGTON,CT,06111-2212,38903
STOP & SHOP #628,(860) 582-5674,PCY.0001315,"597 FARMINGTON AVE
CT 06010-3932
(41.690427, -72.924037)",597 FARMINGTON AVE,BRISTOL,CT,06010-3932,246463
STOP & SHOP #624,(203) 245-7467,PCY.0001748,"136 SAMSON ROCK DR
CT 06443-3018
(41.278666, -72.596284)",136 SAMSON ROCK DR,MADISON,CT,06443-3018,230525
STOP & SHOP #623,(860) 346-0160,PCY.0001429,"416 E MAIN ST
CT 06457-4555
(41.545851, -72.638978)",416 E MAIN ST,MIDDLETOWN,CT,06457-4555,245843
STOP & SHOP #619,(860) 688-1744,PCY.0001597,"1095 KENNEDY RD
CT 06095-1339
(41.894047, -72.650724)",1095 KENNEDY RD,WINDSOR,CT,06095-1339,171992
STOP & SHOP #610,(860) 956-3740,PCY.0001391,"1380 BERLIN TPKE
CT 06109-1093
(41.716934, -72.696077)",1380 BERLIN TPKE,WETHERSFIELD,CT,06109-1093,283272
STOP & SHOP #604,(203) 729-4182,PCY.0001348,"727 RUBBER AVE
CT 06770-3642
(41.49262, -73.078807)",727 RUBBER AVE,NAUGATUCK,CT,06770-3642,246647
STOLL'S PHARMACY,(203) 575-0199,PCY.0001330,"185 GROVE ST
CT 06710-2289
(41.55988, -73.042783)",185 GROVE ST,WATERBURY,CT,06710-2289,38469
SLAVINS-HANCOCK PHARMACY INC,(203) 323-2161,PCY.0000767,"922 WASHINGTON BLVD
CT 06901-2902
(41.052292, -73.54231)",922 WASHINGTON BLVD,STAMFORD,CT,06901-2902,244280
SIMPLY PHARMACY,(860) 865-1303,PCY.0002312,"92 BOSTON POST RD
CT 06385-2421
(41.341771, -72.121867)",92 BOSTON POST RD,WATERFORD,CT,06385-2421,1276408
SHOPRITE PHARMACY OF WEST HARTFORD,(860) 233-9622,PCY.0002171,"46 KANE ST
CT 06119-2109
(41.751762, -72.716109)",46 KANE ST,WEST HARTFORD,CT,06119-2109,921806
SHOPRITE PHARMACY OF WATERBURY,2037531718,PCY.0001125,"943 WOLCOTT ST
CT 06705-1301
(41.566909, -73.007624)",943 WOLCOTT ST,WATERBURY,CT,06705-1301,249885
SHOPRITE PHARMACY OF ORANGE,(203) 795-0634,PCY.0002340,"259 BULL HILL LN
CT 06477-3212
(41.273775, -72.987395)",259 BULL HILL LN,ORANGE,CT,06477-3212,1371412
SHOPRITE PHARMACY OF NORWICH,(860) 859-9758,PCY.0002261,"634 W MAIN ST
CT 06360-6007
(41.515526, -72.102014)",634 W MAIN ST,NORWICH,CT,06360-6007,1150552
SHOPRITE PHARMACY OF HAMDEN,(203) 230-8019,PCY.0002178,"2100 DIXWELL AVE
CT 06514-2406
(41.369377, -72.919103)",2100 DIXWELL AVE,HAMDEN,CT,06514-2406,924942
SHOPRITE PHARMACY OF CLINTON,(860) 669-6619,PCY.0002169,"266 E MAIN ST
CT 06413-2254
(41.271017, -72.50094)",266 E MAIN ST,CLINTON,CT,06413-2254,921801
SHOPRITE PHARMACY OF BRISTOL #308,860-584-5733,PCY.0001700,"1200 FARMINGTON AVE
CT 06010-4714
(41.697521, -72.903645)",1200 FARMINGTON AVE,BRISTOL,CT,06010-4714,212643
SHOPRITE OF STRATFORD,(203) 378-4296,PCY.0002183,"250 BARNUM AVENUE
CUTOFF, CT 06614-5152
(41.187322, -73.184423)",250 BARNUM AVENUE CUTOFF,STRATFORD,CT,06614-5152,943683
SHOPRITE OF NEW LONDON,(860) 447-1194,PCY.0001743,"351 N FRONTAGE RD
CT 06320-2628
(41.370046, -72.118576)",351 N FRONTAGE RD,NEW LONDON,CT,06320-2628,225180
SHOPRITE OF MILFORD,203-783-0587,PCY.0002334,"935 BOSTON POST RD
CT 06460-3531
(41.231794, -73.048967)",935 BOSTON POST RD,MILFORD,CT,06460-3531,1342562
SHOPRITE OF CROMWELL,(860) 613-2063,PCY.0002388,"45 SHUNPIKE RD
CT 06416-2447
(41.604628, -72.676192)",45 SHUNPIKE RD,CROMWELL,CT,06416-2447,1633747
SHOPRITE EAST HAVEN,(475) 202-5180,PCY.0002277,"745 FOXON RD
CT 06513-1873
(41.322169, -72.854616)",745 FOXON RD,EAST HAVEN,CT,06513-1873,1175943
SHARON PHARMACY,(860) 364-5272,PCY.0000294,"8 GAY ST
CT 06069-0116
(41.92314, -73.069718)",8 GAY ST,SHARON,CT,06069-0116,37117
SEYBRIDGE PHARMACY INC,203-888-0073,PCY.0001292,"37 NEW HAVEN RD
CT 06483-3460
(41.397087, -73.062539)",37 NEW HAVEN RD,SEYMOUR,CT,06483-3460,38450
SERAFINOS PHARMACY INC,(860) 628-7979,PCY.0000495,"36 N MAIN ST
CT 06489-2517
(41.602656, -72.878252)",36 N MAIN ST,SOUTHINGTON,CT,06489-2517,37335
SAM'S CLUB PHARMACY #10-6636,(860) 665-0867,PCY.0002129,"3465 BERLIN TPKE
CT 06111-5106
(41.649893, -72.728824)",3465 BERLIN TPKE,NEWINGTON,CT,06111-5106,519234
SALISBURY PHARMACY,,PCY.0000516,"20 MAIN ST
CT 06068-1800
(41.982307, -73.42261)",20 MAIN ST,SALISBURY,CT,06068-1800,37338
SALEM PHARMACY LLC,(860) 949-8624,PCY.0002252,"20 HARTFORD RD
CT 06420-3841
(41.477175, -72.26522)",20 HARTFORD RD UNIT 16,SALEM,CT,06420-3841,1121463
SAINT FRANCISRX #1,(860) 527-2800,PCY.0001117,"100 WOODLAND ST
CT 06105-1223
(41.774368, -72.699779)",100 WOODLAND ST,HARTFORD,CT,06105-1223,38011
ROTARY DRUG,(203) 378-9394,PCY.0000898,"1030 BARNUM AVE
CT 06614-4985
(41.186628, -73.170401)",1030 BARNUM AVE,STRATFORD,CT,06614-4985,246024
ROCKY HILL COMMUNITY PHARMACY,(860) 372-4618,PCY.0002299,"366 CROMWELL AVE
CT 06067-1841
(41.66061, -72.678609)",366 CROMWELL AVE,ROCKY HILL,CT,06067-1841,1237800
RIVERSIDE PHARMACY INC,(201) 270-8013,PCY.0002311,"926 MAIN ST
CT 06108-2237
(41.770237, -72.643217)",926 MAIN ST,EAST HARTFORD,CT,06108-2237,1275709
RITE AID  #922,(860) 274-9191,PCY.0001076,"1271 MAIN ST
CT 06795-3107
(41.591236, -73.106661)",1271 MAIN ST,WATERTOWN,CT,06795-3107,38000
RITE AID #6708,(203) 492-0090,PCY.0002325,"249 LEGION AVE
CT 06519-5508
(41.306042, -72.942405)",249 LEGION AVE,NEW HAVEN,CT,06519-5508,1320894
RITE AID  #667,(203)734-3152,PCY.0001022,"404 MAIN ST
CT 06401-2307
(41.339991, -73.077994)",404 MAIN ST,ANSONIA,CT,06401-2307,225195
RITE AID  #576,(203) 265-3600,PCY.0001059,"605 N COLONY RD
CT 06492-3109
(41.469772, -72.816573)",605 N COLONY RD,WALLINGFORD,CT,06492-3109,37995
RITE AID  #4995,(860) 354-6313,PCY.0001703,"173 DANBURY RD
CT 06776-4309
(41.550702, -73.417829)",173 DANBURY RD,NEW MILFORD,CT,06776-4309,211229
RITE AID  #4778,(203) 469-7648,PCY.0001644,"588 MAIN ST
CT 06512-2001
(41.283646, -72.882729)",588 MAIN ST,EAST HAVEN,CT,06512-2001,186746
RITE AID  #4772,8607494184,PCY.0001671,"71 PALOMBA DRIVE
CT 06082-3801
(41.989896, -72.571235)",71 PALOMBA DRIVE,ENFIELD,CT,06082-3801,198649
RITE AID  #4759,860-684-9555,PCY.0001639,"88 W STAFFORD RD
CT 06076-1067
(41.969301, -72.33148)",88 W STAFFORD RD,STAFFORD SPRINGS,CT,06076-1067,183156
RITE AID #4620,(203) 879-5853,PCY.0001618,"744 WOLCOTT RD
CT 06716-1906
(41.602586, -72.986604)",744 WOLCOTT RD,WOLCOTT,CT,06716-1906,50409
RITE AID  #441,203-777-7248,PCY.0001045,"66 CHURCH ST
CT 06510-3304
(41.305271, -72.926349)",66 CHURCH ST,NEW HAVEN,CT,06510-3304,225197
RITE AID  #4092,203-468-1039,PCY.0002132,"645 FOXON RD
CT 06513-1951
(41.321908, -72.85054)",645 FOXON RD,EAST HAVEN,CT,06513-1951,518168
RITE AID  #3619,(203) 382-0009,PCY.0001540,"1060 E MAIN ST
CT 06608-1915
(41.189227, -73.180694)",1060 E MAIN ST,BRIDGEPORT,CT,06608-1915,3451
RITE AID  #3440,(203) 838-6141,PCY.0001488,"190 EAST AVE
CT 06855-1112
(41.107181, -73.405508)",190 EAST AVE,NORWALK,CT,06855-1112,317813
RITE AID  #3264,(203) 469-4609,PCY.0001456,"10 HEMINGWAY AVE
CT 06512-3404
(41.266838, -72.872485)",10 HEMINGWAY AVE,EAST HAVEN,CT,06512-3404,247613
RITE AID  #2737,(860) 283-8541,PCY.0001710,"455 S MAIN ST
CT 06787-1816
(41.6616, -73.080006)",455 S MAIN ST,THOMASTON,CT,06787-1816,213501
RITE AID  #2666,(203) 596-8192,PCY.0001404,"277 FAIRFIELD AVE
CT 06708-4068
(41.535571, -73.059624)",277 FAIRFIELD AVE,WATERBURY,CT,06708-4068,38878
RITE AID  #2574,(203) 877-6774,PCY.0001154,"1360 BOSTON POST RD
CT 06460-2704
(41.24011, -73.034328)",1360 BOSTON POST RD,MILFORD,CT,06460-2704,225198
RITE AID  #2089,(203) 754-3636,PCY.0001696,"1030 WOLCOTT ST
CT 06705-1316
(41.569016, -73.006198)",1030 WOLCOTT ST,WATERBURY,CT,06705-1316,208021
RITE AID  #1882,(203) 777-0695,PCY.0001308,"325 FERRY ST
CT 06513-3702
(41.308742, -72.895391)",325 FERRY ST,NEW HAVEN,CT,06513-3702,38457
RITE AID  #1839,203-933-5260,PCY.0001666,"70 ELM ST
CT 06516-3810
(41.27894, -72.942171)",70 ELM ST,WEST HAVEN,CT,06516-3810,194050
RITE AID  #1790,(203) 573-0378,PCY.0001300,"141 MERIDEN RD
CT 06705-1937
(41.549564, -73.013867)",141 MERIDEN RD,WATERBURY,CT,06705-1937,247749
RITE AID  #1404,(203) 797-0223,PCY.0001224,"30 GERMANTOWN RD
CT 06810-5033
(41.411304, -73.435759)",30 GERMANTOWN RD,DANBURY,CT,06810-5033,38236
RITE AID  #1375,(203) 723-7745,PCY.0001214,"56 RUBBER AVE
CT 06770-4136
(41.487054, -73.057201)",56 RUBBER AVE,NAUGATUCK,CT,06770-4136,246251
RITE AID  #1214,8605677064,PCY.0001193,"331 WEST ST
CT 06759-3406
(41.745308, -73.204418)",331 WEST ST,LITCHFIELD,CT,06759-3406,225200
RITE AID  #1087,(203) 272-3543,PCY.0000357,"180 MAIN ST
CT 06410-2406
(41.503573, -72.903987)",180 MAIN ST,CHESHIRE,CT,06410-2406,37129
RITE AID  #10390,203-325-1260,PCY.0001475,"82 HOYT ST
CT 06905-5701
(41.061211, -73.53725)",82 HOYT ST,STAMFORD,CT,06905-5701,39101
RITE AID  #10389,(203) 438-7378,PCY.0001885,"125 DANBURY RD
CT 06877-4139
(41.294583, -73.492898)",125 DANBURY RD,RIDGEFIELD,CT,06877-4139,376869
RITE AID  #10386,(203) 259-2353,PCY.0001413,"1619 POST RD
CT 06824-5910
(41.141035, -73.260217)",1619 POST RD,FAIRFIELD,CT,06824-5910,38879
RITE AID #10384,(203) 798-7520,PCY.0001883,"113 115 MILL PLAIN RD
CT 06811-5277
(41.391829, -73.522363)",113-115 MILL PLAIN RD,DANBURY,CT,06811-5277,376861
RITE AID  #10383,(203) 740-1005,PCY.0001890,"215 FEDERAL RD
CT 06804-2630
(41.443022, -73.404855)",215 FEDERAL RD,BROOKFIELD,CT,06804-2630,377474
RITE AID  #10382,(203) 792-6190,PCY.0000850,"289 GREENWOOD AVE
CT 06801-2402
(41.374594, -73.423346)",289 GREENWOOD AVE,BETHEL,CT,06801-2402,244287
RITE AID  #10381,860-274-7559,PCY.0001277,"620 MAIN ST
CT 06795-2614
(41.601985, -73.116098)",620 MAIN ST,WATERTOWN,CT,06795-2614,246434
RITE AID  #10378,(860) 589-7713,PCY.0001221,"8 S MAIN ST
STE A, CT 06786-6235
(41.677936, -73.011359)",8 S MAIN ST STE A,TERRYVILLE,CT,06786-6235,38234
RITE AID #10376,(203) 377-8065,PCY.0001264,"3680 MAIN ST
CT 06614-4102
(41.209854, -73.129875)",3680 MAIN ST,STRATFORD,CT,06614-4102,38438
RITE AID  #10375,(203) 230-0274,PCY.0000494,"2175 DIXWELL AVE
CT 06514-2405
(41.370191, -72.918598)",2175 DIXWELL AVE,HAMDEN,CT,06514-2405,245282
RITE AID  #10372,(203) 484-0431,PCY.0001459,"1395 MIDDLETOWN AVE
CT 06472-1395
(41.392796, -72.792014)",1395 MIDDLETOWN AVE,NORTHFORD,CT,06472-1395,38906
RITE AID  #10371,(203) 488-8703,PCY.0001449,"280 BRANFORD RD
CT 06471-9995
(41.32508, -72.770164)",280 BRANFORD RD,NORTH BRANFORD,CT,06471-9995,38899
RITE AID  #10370,(203) 261-6493,PCY.0001366,"435 MAIN ST
CT 06468-1151
(41.322413, -73.265029)",435 MAIN ST,MONROE,CT,06468-1151,38667
RITE AID  #10369,(203) 268-9091,PCY.0001179,"508 MONROE TPKE
CT 06468-2309
(41.317392, -73.215594)",508 MONROE TPKE,MONROE,CT,06468-2309,38217
RITE AID  #10367,(203) 874-0845,PCY.0001159,"1387 NEW HAVEN AVE
CT 06460-8159
(41.228629, -72.996672)",1387 NEW HAVEN AVE,MILFORD,CT,06460-8159,225199
RITE AID  #10361,(203) 271-0282,PCY.0001147,"922 S MAIN ST
CT 06410-3419
(41.479594, -72.905762)",922 S MAIN ST,CHESHIRE,CT,06410-3419,38208
RITE AID  #10345,(860) 623-3327,PCY.0001458,"74 BRIDGE ST
CT 06088-9679
(41.929499, -72.616514)",74 BRIDGE ST,EAST WINDSOR,CT,06088-9679,38905
RITE AID  #10341,(860) 824-5481,PCY.0001677,"76 MAIN ST
CT 06018-2460
(42.026712, -73.329161)",76 MAIN ST,CANAAN,CT,06018-2460,159990
RITE AID  #10340,(860) 242-5551,PCY.0000066,"835 PARK AVE
CT 06002-2469
(41.829949, -72.735067)",835 PARK AVE,BLOOMFIELD,CT,06002-2469,36890
